"Adipose_Subcutaneous" "Adipose_Visceral_Omentum" "Adrenal_Gland" "Artery_Aorta" "Artery_Coronary" "Artery_Tibial" "Brain_Amygdala" "Brain_Anterior_cingulate_cortex_BA24" "Brain_Caudate_basal_ganglia" "Brain_Cerebellar_Hemisphere" "Brain_Cerebellum" "Brain_Cortex" "Brain_Frontal_Cortex_BA9" "Brain_Hippocampus" "Brain_Hypothalamus" "Brain_Nucleus_accumbens_basal_ganglia" "Brain_Putamen_basal_ganglia" "Brain_Spinal_cord_cervical_c-1" "Brain_Substantia_nigra" "Breast_Mammary_Tissue" "Cells_Cultured_fibroblasts" "Cells_EBV-transformed_lymphocytes" "Colon_Sigmoid" "Colon_Transverse" "Esophagus_Gastroesophageal_Junction" "Esophagus_Mucosa" "Esophagus_Muscularis" "Heart_Atrial_Appendage" "Heart_Left_Ventricle" "Kidney_Cortex" "Liver" "Lung" "Minor_Salivary_Gland" "Muscle_Skeletal" "Nerve_Tibial" "Ovary" "Pancreas" "Pituitary" "Prostate" "Skin_Not_Sun_Exposed_Suprapubic" "Skin_Sun_Exposed_Lower_leg" "Small_Intestine_Terminal_Ileum" "Spleen" "Stomach" "Testis" "Thyroid" "Uterus" "Vagina" "Whole_Blood" "AverageTissue"
"Brain_Cerebellum" -0.0845928321706131 -0.0893671589585466 -0.0384703456867001 0.00387387680420129 -0.0136663066733652 -0.0418123830384609 0.0298883319088205 0.0395981007551004 0.0198798772909541 0.617680864604087 1 0.110643114413913 0.0880394406420731 0.0341632490472985 0.0857932893783341 0.0695788685640611 0.0275130994014972 0.0199517621527345 0.0404160480845875 -0.0551276555530634 -0.0643806931157054 0.0179403122667972 -0.00599428242291097 -0.00943770691976886 0.0238180427757836 -0.0358734660382851 -0.00341473134852171 -0.0246410217184731 0.00351692780431378 -0.0223252949389956 -0.069209007680947 -0.0886854364505266 0.0469308543586203 -0.0493714724886866 0.00852973313554074 0.0134239607552769 0.0140583309451102 0.0423303910288639 0.010864449673123 -0.050353339074227 -0.0582914188064993 0.0128156024640713 0.0116438134813978 -0.0322434590103241 0.00801609367985356 0.0220753654026613 0.0549868937806292 -0.0119231791629811 -0.0542107404611979 0.0402960363005192
"Brain_Cortex" -0.116562866552575 -0.133501925860092 0.0424109008100105 -0.0440457944419427 -0.0436156265665759 -0.0743475239712065 0.266246663622642 0.393826798473021 0.270501290935258 0.105050989234985 0.110643114413913 1 0.514499300772292 0.21523774697176 0.20728321815118 0.324234487678272 0.25817834027341 0.0519581151111553 0.125023720887591 -0.0574271750288243 -0.0440162376846355 -0.0172502616056988 -0.0343109409728003 -0.0073380234268858 -0.00704345873638421 -0.0359044080500172 -0.0297010184499538 -0.0404810523787097 0.017142072147158 0.000362182763886918 0.0066316943555277 -0.0706036481291657 0.00197269146995495 -0.00200182947179873 -0.0634620949472152 -0.027826342811856 -0.023496072658715 0.0162098373120584 -0.0331525308969208 -0.0685716225330046 -0.0670847195477033 0.0120225243988023 -0.0353360744737512 -0.0138304338810733 0.0210852594915142 -0.0377863253713524 -0.0444700430653109 0.0386008864070063 -0.036026343131982 -0.0149654461042524
"Brain_Frontal_Cortex_BA9" -0.139960777507604 -0.126685979322116 0.0437490973797526 -0.025644932600872 -0.052844095153719 -0.0652278948381592 0.303550889627943 0.451785866724649 0.258436992332195 0.130425236679398 0.0880394406420731 0.514499300772292 1 0.281103126626657 0.304996841279774 0.330769303395833 0.296666879507251 0.0482046888333113 0.194801202943179 -0.0535595304400929 -0.0227941183259247 0.0218021679463439 -0.031005762492653 0.0294630223186116 0.00219162053158937 -0.0152100981801576 -0.0402000941549417 -0.0310241014257857 0.0389099447244297 0.00690070513744155 0.014064651430051 -0.0682501442225574 0.0508667868149584 -0.00651308352278264 -0.0972041119076317 -0.0419003722716395 -0.049737707420974 -0.0102586561317397 0.0148123502039807 -0.0831972257168462 -0.085077842939346 0.0384359497967729 -0.0432353583986377 0.0218500226312586 0.0243704253389671 -0.0532452947741901 0.0332757800455922 0.000175223531068843 -0.00854722636839075 -0.067820058111189
"Brain_Hippocampus" -0.136028432274396 -0.0807774304916531 0.0202630941132451 -0.0715953791499108 -0.0448690516378957 -0.0924802056553998 0.345432839318956 0.28535838886798 0.325730141212979 0.0560879306748597 0.0341632490472985 0.21523774697176 0.281103126626657 1 0.322342853146636 0.297957359898563 0.342453116028349 0.233073917075152 0.331088525417637 -0.074241557617389 -0.0353993386006505 -0.00265431056220776 -0.0716019196132486 0.019264968496681 -0.0297434217514906 0.0188802675817621 -0.0951856326416069 0.0025073236177116 0.0519248523225376 0.0318624767782012 -0.0352468823681847 -0.0294123730564323 0.0661741306032667 0.0131672700556219 -0.0900018787413431 -0.0361592230967696 -0.0456381284629374 -0.0278897396073475 -0.0219411390443366 -0.0589059253440478 -0.0603865136735407 0.0540581082080155 -0.00636048386519119 0.0212162832356263 0.0524821384061756 -0.0452827266956117 -0.0386435041716568 0.0181443857405167 0.0189263535008959 -0.0968176012347026
"Brain_Hypothalamus" -0.118222847009745 -0.0262381245255852 0.0386655611806176 -0.0619683223063851 -0.0451778597675231 -0.0998903311416297 0.288942334836295 0.281889616978633 0.233131353740322 0.122076483009326 0.0857932893783341 0.20728321815118 0.304996841279774 0.322342853146636 1 0.30155635480798 0.266037308497529 0.136147310567803 0.297545357222771 -0.0180834015953134 -0.0328748789700984 0.0563949451434558 -0.0618569627560332 0.0245231282568587 -0.0174800340881408 0.0115189797605909 -0.0640733819913733 2.72284585866542e-05 0.0385904593489554 0.0132449010956557 0.00852985820557584 -0.0417225855541789 0.0663129171463782 0.0194806220007421 -0.083132602960597 -0.0241262929253322 -0.0182397668466851 0.0429777273591653 -0.0267383552584528 -0.1185387662342 -0.110584401461262 0.0558019790294464 -0.0100508620070728 0.0677417737252151 0.0542241219617202 -0.020213148789202 -0.0301086139623108 0.0544934125073357 0.00374841828857381 -0.064871075070249
"Brain_Nucleus_accumbens_basal_ganglia" -0.164595086895759 -0.127426059809044 0.0365486974903357 -0.06408135462566 -0.0414303496407592 -0.0965896038359106 0.309147384443778 0.319446994685275 0.506196897174556 0.0953547131070487 0.0695788685640611 0.324234487678272 0.330769303395833 0.297957359898563 0.30155635480798 1 0.445426426976525 0.129821465490653 0.190473733000863 -0.0613341239409683 -0.0268405829780926 0.00496720432428716 -0.0579838729318528 0.0256859153138385 -0.0257206258084647 -0.00412564513161542 -0.0860831277235324 -0.0360887110096703 0.030089638612002 -0.00279885820310634 -0.000884764532472428 -0.0445927761773631 0.0511427528098202 0.0121534648855588 -0.106170978393882 0.0027725862736682 -0.0236049465318468 -0.0244725729976408 -0.0147254733010035 -0.0824435354025658 -0.0834739171288545 0.0428042255888941 -0.0127443877598621 -0.00799112317695418 0.0447651317765406 -0.0496084991196099 -0.0320725754159044 0.0415903027444987 -0.00860315435659996 -0.069590029376763
"Brain_Putamen_basal_ganglia" -0.118526196428428 -0.0911763735705102 0.0128322442842628 -0.0529299599636781 -0.0347577271306621 -0.0833006095683079 0.339339709786092 0.307005034283461 0.508993604710161 0.0352552406945186 0.0275130994014972 0.25817834027341 0.296666879507251 0.342453116028349 0.266037308497529 0.445426426976525 1 0.169445671668444 0.25263399595053 -0.0522691151710952 -0.0418943508934053 0.0180944828612424 -0.0646829562424623 0.0323571674421751 -0.0240117706633646 -0.00242524406822903 -0.0903543706533396 -0.0234618315614871 0.0411209900286792 0.0138218376679118 -0.00228151551331336 -0.0488490167174824 0.0537395067111554 0.016926352992567 -0.0768554801631682 -0.00941602109341132 -0.0252442126721122 -0.0470497542402654 -0.0142319420954712 -0.0774841734904869 -0.0641985331301516 0.0502409487286005 -0.0237896384193433 0.00928107391464885 0.0532758280119096 -0.0357842615885799 -0.0421763435259063 0.0640640493649462 -0.00376479791349074 -0.0687381380557271
"Brain_Spinal_cord_cervical_c-1" -0.0603508618820555 -0.0721156115416142 0.0270324804124088 -0.0252779603282003 -0.0215977769759233 -0.0371875680461159 0.130068603299497 0.0718171279549771 0.173798858531246 0.006312419416739 0.0199517621527345 0.0519581151111553 0.0482046888333113 0.233073917075152 0.136147310567803 0.129821465490653 0.169445671668444 1 0.209396942510764 -0.0556542109909691 -0.0358040375430878 0.00929080917177498 -0.00122121258469909 -0.00948162099202034 -0.00834921452862229 -0.0106099865850806 -0.0287163920167298 -0.00804856670025677 0.0161630352502947 -0.00114336338224786 0.00641028902420314 -0.013346688535907 -0.00694991951026788 0.0188901422849653 -0.00303824327397515 -0.0323396650800674 -0.00519058398975466 -0.000880876749864879 -0.032266826638226 -0.0476872952148647 -0.0323882452037874 0.00869484812988248 -0.00558767253743458 0.00227238204969053 0.0014196808791284 -0.0128777574858034 -0.0224335383778234 -0.0188611131575858 -0.0136226923484378 -0.0169282569592933
"Brain_Substantia_nigra" -0.0734383849319589 -0.0476343995040212 0.0359369550407641 -0.0416541589888436 -0.0380388186232487 -0.070316233970413 0.319068518993774 0.206900244793842 0.20420906631668 0.0500579778867222 0.0404160480845875 0.125023720887591 0.194801202943179 0.331088525417637 0.297545357222771 0.190473733000863 0.25263399595053 0.209396942510764 1 -0.013024551349409 -0.0183335563319886 0.00734783050185286 -0.0764915700308692 -0.00848807408779496 -0.0283786979189262 0.0106578180289882 -0.0567581671207265 -0.0036220917589748 0.0255862076609041 0.0059254409321965 -0.023406440476963 -0.0417743290006402 0.0925923440959942 -0.00362727243283438 -0.0325271584354852 -0.0413319563815579 0.00242426223445469 0.0139634101018478 -0.0341681850598216 -0.0650880570305271 -0.0629194691423297 0.00268903099622765 0.019129814148621 -0.000281089717957653 0.00577562285893887 -0.0278738362629822 -0.0579780575954333 -0.0151951235268953 -0.00566891984495443 -0.0438975132231321
"Breast_Mammary_Tissue" 0.220295800096828 0.220014785076921 -0.019342575919785 -0.0181719906363685 0.0368389110376083 -0.00991334146794302 -0.0310090803372739 -0.0626673942217561 -0.0544618591654309 -0.0475133472168281 -0.0551276555530634 -0.0574271750288243 -0.0535595304400929 -0.074241557617389 -0.0180834015953134 -0.0613341239409683 -0.0522691151710952 -0.0556542109909691 -0.013024551349409 1 -0.023942875106372 -0.0338563481913044 -0.00098230326677004 0.0425137716717608 -0.0104454390002299 -0.0444889295730918 -0.00180071692114156 -0.0134306936940382 -0.0162345778442488 0.0216937722700593 0.0138469235458192 0.0229397528514245 0.0338507494499238 -0.0117560251753912 0.0455791566430305 0.0251806976961234 -0.00396385381315307 -0.0191128045698423 0.0478877859630826 0.00562406974212435 0.0161246007393002 0.0073867257027721 -0.0210570141023934 0.00967195733967284 -0.000213735744221605 -0.010836546267674 0.00528830983025351 0.0100559334836257 -0.00618925461219449 -0.0189653745154501
